date,MonthYear,year,time,occupancy,precinct,bbl,reason,dba,address,zip,floor,corp,sex,race,inspector,notes,buildings_violations,buildings_summonses,buildings_ecb,buildings_violationsCW,fire_violations,fire_summonses,fire_ecb,fire_violationsCW,police_summonses,police_arrests,police_ecb,health_summonses,health_arrests,health_ecb,citation-ANY,citation-YN
6/6/14,06/2014,2014,20:20,1-2 Family,PBBX,BX-02614-0029,"pct. concerns., Investigation",,"616 East 168th Street, Bronx York, New York",,,,,,Davis Santiago Parczewski,Inspection Note: No Activity. Legal 2 Family.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
6/6/14,06/2014,2014,19:50,1-2 Family,PBBX,BX-02668-0047,"pct. concerned of outdoor structure., Investigation",,"877 Union Avenue, Bronx, New York",,,,,,Santiago Davis Parczewski,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/10/14,01/2014,2014,16:30,1-2 Family,,MN-01903-0139,Complaint,,"106 West 119 Street, New York, New York 10026",10026,,,,,Santiago Davis Pugach,Inspection Note: Refer To Dob ; 2 Family.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
3/20/14,03/2014,2014,15:00,1-2 Family,PBBS,BK-06223-0019,Posting,,"1428 75th Street, New York, New York",,,,Female,,Pugach Giglio Santiago,Inspection Note: Serve Dob Violations Regarding 87 1st Ave.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/29/14,01/2014,2014,14:00,1-2 Family,,MN-01727-0064,"bis, Complaint",,"54 West 130 Street, New York, New York 10037",10037,,,,,Parczewski Davis Santiago,Inspection Note: 2 Family Referred To Dob,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
6/5/14,06/2014,2014,16:30,1-2 Family,PBMS,MN-01343-7502,Complaint - BIS,,"324 East 51 Street, New York, New York 10022",10022,,,,,Giglio Santiago Pugach Levine,Inspection Note: 1 Family Home. Unable To Determine Transient Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/10/14,01/2014,2014,16:10,1-2 Family,,MN-01902-0047,"Complaint, bis",,"130 West 118 Street, New York, New York 10026",10026,,,,,Pugach Davis Levine,Inspection Note: Unable To Determine As Per XXXXXX Occupied As 2 Family.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
5/16/14,05/2014,2014,10:40,1-2 Family,PBBS,BK-05676-0039,Complaint - BIS,,"5414 New Utrecht Avenue, Brooklyn, New York 11219",11219,2/3.,,,,Santiago Parczewski Davis,Inspection Note: Unable To Determine As Per Tenant. Office On 2 And 3.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/29/14,01/2014,2014,10:20,1-2 Family,,QN-05383-0038,"ose, Complaint",,"149-49 Beech Avenue, New York, New York 11355",11355,,,Female,,Levine Pugach Giglio,Inspection Note: Unable To Determine Transient Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2/12/14,02/2014,2014,19:50,1-2 Family,PBMS,"MN-00883-0068, MN-00883-0068",Complaint,,"111 Lexington Avenue, New York, New York 10016",10016,,,Male,,Pugach Giglio Levine,"ECB DEPT. OF BUILDINGS 35034205R,
Inspection Note: As Per Apic Illegal Hotel Moved Out. No Evidence Seen. Additional Violation Issued For Violating Stop Work Order",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes
3/9/15,03/2015,2015,,1-2 Family,PBBN,BK-01961-0008,Complaint - BIS,,"440 Waverly Avenue, New York, New York 11238",11238,,,,,Davis Pugach Parczewski,Inspection Note: Unable To Determine As Per Tenant Interview.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
3/10/15,03/2015,2015,,1-2 Family,PBBN,BK-01706-0049,Complaint - BIS,,"1 Jewell Mckoy Lane, Brooklyn, New York 11213",11213,,,,,Davis Pugach Parczewski,"ECB DEPT. OF BUILDINGS 35151680Z,
ECB DEPT. OF BUILDINGS 35151679L,
ECB DEPT. OF BUILDINGS 35151678J,
ECB DEPT. OF BUILDINGS 35151681K,
ECB DEPT. OF BUILDINGS 35151682M,
Inspection Note: 2nd Floor 4 Bedrooms W/ 2 Sets Of Bunk Beds In Each.",0,0,5,0,0,0,0,0,0,0,0,0,0,0,5,Yes
4/17/15,04/2015,2015,,1-2 Family,PBBN,BK-02378-0028,Complaint - BIS,,"71 Grand Street, Brooklyn, New York 11211",11211,,,,,Parczewski Davis Santiago,Inspection Note: Refere To Dob.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2/26/15,02/2015,2015,,1-2 Family,PBBS,BK-06360-0007,Complaint - BIS,,"1507 Benson Avenue, Brooklyn, New York 11228",11228,,,,,Parczewski Giglio Davis,Inspection Note: No Access To Basement.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
7/10/14,07/2014,2014,,1-2 Family,PBMS,MN-00097-0144,Complaint - BIS,,"138 Beekman Street, New York, New York 10038",10038,,,Female,,Pugach Giglio Levine Santiago,Inspection Note: Single Family Home Under Renovation Unable To Determine Transient Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
7/9/14,07/2014,2014,,1-2 Family,PBMS,MN-00883-0068,Complaint - BIS,,"111 Lexington Avenue, New York, New York 10016",10016,,,,,Pugach Levine Santiago,Inspection Note: Unable To Gain Entry To Bldg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
12/11/14,12/2014,2014,,1-2 Family,PBBS,BK-00976-0022,Complaint - BIS,,"470 Second Street, New York, New York 11215",11215,,,,,Parczewski Davis Santiago,Inspection Note: Unable To Determine As Per Owner Interview.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/10/14,01/2014,2014,16:10,1-2 Family,,MN-01902-0047,"Complaint, bis",,"130 West 118 Street, New York, New York 10026",10026,,,,,Pugach Davis Levine,"Inspection Note: Unable To Determine As Per XXXXXX, Occupied As 2 Family.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
5/16/14,05/2014,2014,10:40,1-2 Family,PBBS,BK-05676-0039,Complaint - BIS,,"5414 New Utrecht Avenue, Brooklyn, New York 11219",11219,2/3.,,,,Santiago Parczewski Davis,Inspection Note: Unable To Determine As Per Tenant. Office On 2 And 3.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/29/14,01/2014,2014,10:20,1-2 Family,,QN-05383-0038,"ose, Complaint",,"149-49 Beech Avenue, New York, New York 11355",11355,,,Female,,Levine Pugach Giglio,Inspection Note: Unable To Determine Transient Use,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
2/12/14,02/2014,2014,19:50,1-2 Family,PBMS,"MN-00883-0068, MN-00883-0068",Complaint,,"111 Lexington Avenue, New York, New York 10016",10016,,,Male,,Pugach Giglio Levine,"ECB DEPT. OF BUILDINGS 35034205R,
Inspection Note: As Per Apic Illegal Hotel Moved Out. No Evidence Seen. Additional Violation Issued For Violating Stop Work Order",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,Yes
1/17/14,01/2014,2014,18:20,Bis,,MN-02172-0004,,,"4580 Broadway, New York, New York 10040",10040,,,,,Davis Santiago Pugach,Inspection Note: Unable To Determine As Per Tenant 6v States 6s Is Long Term.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/29/14,01/2014,2014,19:50,Bis,,MN-00292-0010,Complaint,,"28 Forsyth Street, New York, New York 10002",10002,,,,,Parczewski Santiago Davis,"Inspection Note: Unable To Determine, No Exact Location Given.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
1/29/14,01/2014,2014,20:30,Bis,,MN-00199-0018,Complaint,,"89 Mulberry Street, New York, New York 10013",10013,2 & 4 Fl,,,,Parczewski Davis Santiago,"Inspection Note: Unable To Determine, As Per Tenants Long Term.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,No
